"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created","Value_inches","Percent_NRCS_1991_2020_Average","Percent_NRCS_1991_2020_Median","Percent_of_POR_Average","Percent_of_POR_Median","Percent_of_Water_Year_Peak","Percent_NRCS_1991_2020_Average_Water_Year_Peak","Percent_NRCS_1991_2020_Median_Water_Year_Peak","Percent_of_POR_Average_Water_Year_Peak","Percent_of_POR_Median_Water_Year_Peak","POR_Median_Departure_inches","Percentile_POR","Maximum_Rank_POR","Minimum_Rank_POR","Records_POR","NRCS_1991_2020_Average_inches","NRCS_1991_2020_Median_inches","POR_Average_inches","POR_Median_inches","Minimum_POR_inches","Maximum_POR_inches","Year_of_Minimum_POR","Year_of_Maximum_POR","Number_of_Observations_POR"
"Big Meadow","340	","Nevada","SNOTEL","Washoe","8235","39.455","-119.9422","160501020505	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","21",,,"81","105","28","30","32","1","53","8","9",,,,"26","20","0","93","2014, 2015, 2021, more","2017","16"
"Big Red Mountain","341	","Oregon","SNOTEL","Jackson","6050","42.05257","-122.85487","171003090301	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","36",,,"80","78","69","47","46","-10","33","15","8",,,,"45","46","0","88","2015","2011","22"
"Big Sandy Opening","342	","Wyoming","SNOTEL","Sublette","9080","42.6458","-109.25965","140401040101	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","34",,,"117","110","77","62","63","3","75","6","15",,,,"29","31","8","58","2007","2011","21"
"Big Sheep AM","1229	","Oregon","SNOLITE","Wallowa","6240","45.16842","-117.08631","170601020301	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","53",,,"132","129","90","83","84","12","89","2","9","2nd Highest",,,"40","41","12","65","2015","2017","10"
"Bigelow Camp","343	","Oregon","SNOTEL","Josephine","5130","42.07875","-123.34393","171003090105	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","0",,,"0",,"0","0","0","0","65","7","1","Lowest",,,"7","0","0","37","2020, 2021, 2022, more","2011","18"
"Billie Creek Divide","344	","Oregon","SNOTEL","Klamath","5280","42.40717","-122.26617","180102030201	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","25",,,"139","156","48","39","37","9","68","7","14",,,,"18","16","0","56","2015, 2018, 2020, more","2008","20"
"Bird Creek","1155	","Nevada","SNOTEL","White Pine","7537","39.46138","-114.64863","160600081304	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","0",,,,,"0","0","0","0","100","1","1",,,,"0","0","0","0","2020, 2021, 2022, more","2020, 2021, 2022, more","11"
"Bison Lake","345	","Colorado","SNOTEL","Garfield","10964","39.76458","-107.35628","140100011401	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","61",,,"94","92","85","58","62","-5","45","13","10",,,,"65","66","37","116","2002","2011","23"
"Bisson Creek","346	","Montana","SNOTEL","Lake","4920","47.68389","-113.99901","170102120602	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","12",,,"80","120","44","31","31","2","58","9","12",,,,"15","10","0","58","2005, 2015, 2016, more","2011","20"
"Black Bear","347	","Montana","SNOTEL","Gallatin","8170","44.50832","-111.12803","100200070202	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT",,,,,,,,,,,,,,,,"94","90","47","148","2015","1997","28"
